会社名,ステータス,キャッチコピー
悠悠ホーム株式会社 | ◎完全週休2日制 ◎充実の手当は10種類 ◎業界・業種未経験OK,正社員,【総合職】高い知名度&地場No.1の安定企業で長いキャリアを描く 正社員
ポラス株式会社 | 14年連続住宅販売No.1！知名度バツグン！地域に根差した安定企業,正社員,頑張り次第で高収入OK！豊かな生活を提案する【営業系総合職】 正社員
UTエイム株式会社 | 【東証一部上場グループ】★WEB面接OK／今月入社も可能,正社員,未経験・第二新卒OK【総合職(組立・検品等)】★月収42万円以上可 正社員
株式会社千葉東建設 | 未経験でも月給25万円～＋歩合給＋賞与年2回＋各種手当,正社員,100％反響型・ノルマなし【ハウジングアドバイザー】完全週休2日 正社員
株式会社平和地建 | 人々の暮らしに笑顔を増やす。なくてはならない企業となるために,正社員,不動産を通して、驚きと感動を生む。【反響営業】※未経験OK 正社員
UTコンストラクション株式会社 | 東証一部上場グループ★大手ゼネコンへの転籍実績も多数,正社員,前職給与保証!!【施工管理スタッフ】※土日休／残業月平均20時間 正社員
クリーンデバイス・テクノロジー株式会社,FCオーナー,カーエアコンクリーニング「空気の洗車屋さん」【FCオーナー】 FCオーナー
益三建設株式会社 | ＜設立50年！地域に愛された会社＞＊UIターン歓迎＊住宅手当あり,正社員,企画型注文住宅の【ホームアドバイザー】★業界・職種未経験歓迎 正社員
大同生命保険株式会社 | ★業界経験一切不問 ★有給取得実績多数 ★転勤なし ★土日休み,正社員,基本17時退社★平均月給42.9万円【法人営業】※社会人経験者限定 正社員
新日本住設EAST株式会社 | 【7年連続140％売上伸長の安定基盤】★年収1000万円以上も可能！,正社員,仙台限定募集★【営業スタッフ】★月収80万円も可能！未経験歓迎 正社員
株式会社エフティグループ | ★東証JASDAQ上場総合商社・安定性抜群★年休120日★WEB面接1回,正社員,【ソリューション営業】★年功序列なし！月給50万円スタート可！ 正社員
新日本住設EAST株式会社 | 【7年連続140％売上伸長の安定基盤】★年収1000万円以上も可能！,正社員,未経験歓迎！【営業スタッフ】★月収80万円も可能！★全国募集 正社員
株式会社三和交通統轄本部 | 有給消化98％/サービス残業0/賞与年2回/予約年200万件,正社員,【フードデリバリードライバー】未経験歓迎★給与保障有(規定有) 正社員
UTエイム株式会社 | 【超スピード選考】最短当日面接＆当日採用(規定有)！,正社員,【自動車製造スタッフ】転籍実績も多数！★月収42万円以上も可！ 正社員
株式会社アーキ・ジャパン | 平均月収53万円(施工管理・技術職)【大阪府緊急雇用対策に賛同】,正社員,《希望の勤務地》《高収入》《望む働き方》を実現！【施工管理】 正社員
株式会社テクトン | WEB面接可／20代・30代活躍中／年間休日125日／土日祝休み,正社員,IT×人材ビジネスの専門スキルを磨く！【人材コーディネーター】 正社員
株式会社吉安建設 | ＜大正5年創業＞熊本・菊池の総合建設会社／転勤なしで働ける,正社員,【施工管理(土木/建築)】★昇給年2回 ★賞与年3回 ★月給28万円~ 正社員
株式会社LEVELY | ★未経験歓迎(研修充実)／完全週休2日／女性活躍中／複数名採用,正社員,★未経験歓迎【エステティシャン】＼オープニングスタッフ募集／ 正社員
メットライフ生命保険株式会社 | 大阪アーバンエイジェンシーオフィス｜幅広い年齢層が活躍中！,正社員,【コンサルティング営業】豊かな人生を手に入れるため、働く。 正社員
HITOWAライフパートナー株式会社 | 全国募集★自宅開業OK★転勤なし◎未経験歓迎！学歴・スキル不問,FCオーナー,全員面接★高収入も目指せる◎手に職が付く仕事【FCオーナー】 FCオーナー
ハウスリンクホーム株式会社 | ■年休130日 ■残業月10h程＆残業代100％支給 ■社宅4.5万円補助,正社員,20～30代の未経験者が活躍中【不動産の仕入れ】■月給27.8万円～ 正社員
株式会社エアコン名人 | 　【IT×設備で成長中！】立ち上げメンバー/アプリで業務効率化,正社員,95%未経験！それでも月給40万。手に職の【サービススタッフ】 正社員
BSCモーゲージバンク株式会社 | ★業界No.1・東証一部上場ARUHIのFC企業として圧倒的シェア！,正社員,圧倒的ブランド力×高歩合！ 未経験から始められる【提案営業】 正社員
株式会社神美 | 女性専門のセルライトケア『THE PERFECT LINE』を全国に展開！,正社員,【エステティシャン】*女性活躍中*完全週休2日*年休120日 正社員
株式会社ムーブリフォーム | オープニングStaff募集◆未経験でも月15万円以上の歩合獲得可能,正社員,成約率30％以上！お客様に喜ばれて稼ぐ【営業職】完全週休2日制 正社員
